"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-01-02T03:00:00.000Z","191.44","191.89","190.50","190.72","-0.24","-0.39","6,025,600"
"2024-01-03T03:00:00.000Z","188.77","189.86","188.16","189.13","-0.83","-0.99","8,661,600"
"2024-01-04T03:00:00.000Z","189.08","189.75","188.69","189.32","0.10","-0.05","4,416,700"
"2024-01-05T03:00:00.000Z","189.68","191.26","189.08","189.35","0.02","-0.14","7,481,200"
"2024-01-08T03:00:00.000Z","187.21","188.74","187.11","187.87","-0.78","-0.93","6,215,000"
"2024-01-09T03:00:00.000Z","188.68","188.78","187.73","187.93","0.03","-0.12","4,437,300"
"2024-01-10T03:00:00.000Z","188.14","188.44","187.21","187.50","-0.23","-0.38","4,504,700"
"2024-01-11T03:00:00.000Z","188.02","188.55","186.56","187.87","0.20","0.05","6,831,100"
"2024-01-12T03:00:00.000Z","190.67","191.08","189.16","189.71","0.98","0.83","6,831,400"
"2024-01-16T03:00:00.000Z","189.15","189.26","187.54","187.91","-0.95","-1.10","6,548,100"
"2024-01-17T03:00:00.000Z","187.31","187.42","185.45","185.84","-1.10","-1.25","8,643,200"
"2024-01-18T03:00:00.000Z","186.36","187.40","186.30","187.37","0.82","0.67","4,685,200"
"2024-01-19T03:00:00.000Z","188.26","188.30","187.44","187.93","0.30","0.15","5,719,100"
"2024-01-22T03:00:00.000Z","187.23","187.76","186.85","187.22","-0.38","-0.53","4,397,500"
"2024-01-23T03:00:00.000Z","187.45","188.15","187.28","187.95","0.39","0.24","5,040,800"
"2024-01-24T03:00:00.000Z","188.33","188.37","186.32","186.40","-0.82","-0.98","6,085,400"
"2024-01-25T03:00:00.000Z","187.34","187.64","186.46","187.14","0.40","0.25","4,651,000"
"2024-01-26T03:00:00.000Z","187.27","187.38","186.76","187.01","-0.07","-0.22","5,064,800"
"2024-01-29T03:00:00.000Z","188.31","188.54","187.19","188.33","0.71","0.55","5,629,700"
"2024-01-30T03:00:00.000Z","189.70","189.83","187.98","188.59","0.14","-0.01","4,976,500"
"2024-01-31T03:00:00.000Z","189.37","190.46","188.13","188.45","-0.07","-0.23","7,886,100"
"2024-02-01T03:00:00.000Z","189.71","191.36","188.99","190.41","1.04","0.89","10,278,100"
"2024-02-02T03:00:00.000Z","188.07","188.87","187.85","188.61","-0.95","-1.10","7,337,000"
"2024-02-05T03:00:00.000Z","186.88","187.82","186.70","187.57","-0.55","-0.70","5,436,100"
"2024-02-06T03:00:00.000Z","187.94","188.85","187.74","188.55","0.52","0.37","4,866,100"
"2024-02-07T03:00:00.000Z","188.45","189.39","188.28","188.50","-0.03","-0.18","6,276,900"
"2024-02-08T03:00:00.000Z","187.91","188.53","187.82","188.33","-0.09","-0.24","3,873,300"
"2024-02-09T03:00:00.000Z","187.56","187.77","187.14","187.60","-0.39","-0.54","4,412,600"
"2024-02-12T03:00:00.000Z","186.60","187.27","186.36","187.11","-0.26","-0.41","4,706,300"
"2024-02-13T03:00:00.000Z","185.35","185.38","184.33","184.53","-1.38","-1.53","9,525,800"
"2024-02-14T03:00:00.000Z","184.27","184.88","183.78","184.42","-0.06","-0.21","7,031,600"
"2024-02-15T03:00:00.000Z","185.60","186.02","185.10","185.66","0.67","0.52","6,228,900"
"2024-02-16T03:00:00.000Z","185.08","186.67","184.84","186.34","0.37","0.21","6,516,800"
"2024-02-20T03:00:00.000Z","187.96","188.03","187.40","187.47","0.61","0.46","5,531,200"
"2024-02-21T03:00:00.000Z","187.88","188.04","187.10","187.48","0.01","-0.15","5,790,000"
"2024-02-22T03:00:00.000Z","187.56","187.64","187.05","187.56","0.04","-0.11","4,550,800"
"2024-02-23T03:00:00.000Z","187.56","189.18","187.46","188.62","0.57","0.41","6,827,300"
"2024-02-26T03:00:00.000Z","187.79","188.36","187.53","188.20","-0.22","-0.37","4,491,900"
"2024-02-27T03:00:00.000Z","188.58","188.72","187.88","188.00","-0.11","-0.26","5,165,400"
"2024-02-28T03:00:00.000Z","188.34","188.52","188.03","188.34","0.18","0.03","2,824,100"
"2024-02-29T03:00:00.000Z","189.64","189.92","189.23","189.31","0.52","0.36","6,848,600"
"2024-03-01T03:00:00.000Z","190.27","193.40","189.44","192.89","1.89","1.74","13,404,800"
"2024-03-04T03:00:00.000Z","194.15","196.33","193.88","196.01","1.62","1.47","12,216,300"
"2024-03-05T03:00:00.000Z","197.44","198.14","196.65","197.19","0.60","0.45","9,672,200"
"2024-03-06T03:00:00.000Z","198.08","199.30","197.44","198.81","0.82","0.67","10,459,300"
"2024-03-07T03:00:00.000Z","199.54","200.11","198.91","199.94","0.57","0.42","8,403,700"
"2024-03-08T03:00:00.000Z","200.89","203.30","200.45","201.63","0.85","0.69","13,516,800"
"2024-03-11T03:00:00.000Z","201.71","202.41","201.46","202.00","0.18","0.03","7,329,600"
"2024-03-12T03:00:00.000Z","200.42","200.63","199.16","199.79","-1.09","-1.25","9,436,600"
"2024-03-13T03:00:00.000Z","200.44","201.86","200.35","201.19","0.70","0.55","5,930,000"
"2024-03-14T03:00:00.000Z","200.37","200.47","199.34","200.35","-0.42","-0.57","6,865,000"
"2024-03-15T03:00:00.000Z","199.94","200.63","199.57","199.71","-0.32","-0.47","4,551,500"
"2024-03-18T03:00:00.000Z","199.66","200.15","199.51","200.03","0.16","0.01","7,206,800"
"2024-03-19T03:00:00.000Z","199.62","199.81","198.94","199.80","-0.11","-0.27","4,657,500"
"2024-03-20T03:00:00.000Z","199.16","202.66","199.12","202.18","1.19","1.04","9,593,800"
"2024-03-21T03:00:00.000Z","203.88","203.92","200.60","201.97","-0.10","-0.26","7,396,500"
"2024-03-22T03:00:00.000Z","201.32","201.86","199.72","200.35","-0.80","-0.95","6,913,600"
"2024-03-25T03:00:00.000Z","201.19","201.95","200.97","200.99","0.32","0.17","4,034,800"
"2024-03-26T03:00:00.000Z","202.65","202.76","201.07","201.64","0.32","0.17","5,752,700"
"2024-03-27T03:00:00.000Z","202.32","203.22","202.32","203.10","0.72","0.57","6,041,000"
"2024-03-28T03:00:00.000Z","204.54","206.05","203.87","205.72","1.29","1.14","9,194,500"
"2024-04-01T03:00:00.000Z","208.68","208.73","206.29","207.82","1.02","0.87","13,677,100"
"2024-04-02T03:00:00.000Z","209.07","211.03","208.36","210.89","1.48","1.33","13,421,100"
"2024-04-03T03:00:00.000Z","210.57","212.83","210.30","212.74","0.88","0.73","11,416,200"
"2024-04-04T03:00:00.000Z","212.00","213.45","211.02","211.52","-0.57","-0.72","12,307,300"
"2024-04-05T03:00:00.000Z","212.49","215.74","212.22","215.14","1.71","1.56","13,363,400"
"2024-04-08T03:00:00.000Z","215.98","216.81","214.61","216.48","0.62","0.47","10,331,400"
"2024-04-09T03:00:00.000Z","217.81","218.86","216.45","217.67","0.55","0.40","13,079,300"
"2024-04-10T03:00:00.000Z","215.37","217.78","214.68","215.61","-0.95","-1.10","13,317,500"
"2024-04-11T03:00:00.000Z","216.85","219.84","215.89","219.80","1.94","1.79","11,415,200"
"2024-04-12T03:00:00.000Z","221.87","225.09","216.02","216.89","-1.32","-1.48","30,876,600"
"2024-04-15T03:00:00.000Z","217.94","221.03","215.16","220.95","1.87","1.72","13,239,000"
"2024-04-16T03:00:00.000Z","220.18","221.99","218.78","221.22","0.12","-0.03","10,746,100"
"2024-04-17T03:00:00.000Z","221.05","221.76","218.52","219.59","-0.74","-0.89","11,521,100"
"2024-04-18T03:00:00.000Z","221.31","221.46","219.31","220.34","0.34","0.19","6,496,900"
"2024-04-19T03:00:00.000Z","220.49","222.36","220.08","221.03","0.31","0.16","8,369,000"
"2024-04-22T03:00:00.000Z","216.35","216.96","215.14","215.57","-2.47","-2.62","13,404,300"
"2024-04-23T03:00:00.000Z","213.96","215.86","213.87","215.04","-0.25","-0.40","10,730,300"
"2024-04-24T03:00:00.000Z","214.76","216.35","214.36","214.64","-0.19","-0.34","5,741,100"
"2024-04-25T03:00:00.000Z","214.47","217.05","214.34","215.92","0.60","0.45","6,606,500"
"2024-04-26T03:00:00.000Z","216.77","217.07","215.53","216.62","0.32","0.17","6,268,500"
"2024-04-29T03:00:00.000Z","216.02","217.22","215.25","216.18","-0.20","-0.35","6,409,900"
"2024-04-30T03:00:00.000Z","213.38","214.13","211.80","211.87","-1.99","-2.15","11,248,600"
"2024-05-01T03:00:00.000Z","212.96","215.50","212.41","213.79","0.91","0.75","10,373,900"
"2024-05-02T03:00:00.000Z","211.90","213.71","211.49","213.13","-0.31","-0.46","6,287,000"
"2024-05-03T03:00:00.000Z","212.89","213.23","210.71","212.96","-0.08","-0.23","8,679,900"
"2024-05-06T03:00:00.000Z","215.14","215.91","214.47","215.20","1.05","0.90","6,840,500"
"2024-05-07T03:00:00.000Z","214.52","214.93","213.88","214.21","-0.46","-0.61","5,660,700"
"2024-05-08T03:00:00.000Z","213.62","214.80","213.50","213.58","-0.29","-0.45","4,462,700"
"2024-05-09T03:00:00.000Z","214.48","216.95","214.44","216.95","1.58","1.43","7,732,500"
"2024-05-10T03:00:00.000Z","219.22","219.60","218.08","218.71","0.81","0.66","8,699,400"